"Session Title","Session Description","Speaker Bio(s)"
"Telling Complex & Hard Histories: Interpreting Slavery at Small Historic Sites","How do small historic sites responsibly interpret histories of enslavement—especially when records are limited and the stories are difficult to tell? Join moderator Jake Sconyers for a panel discussion featuring leaders from Old North Church, King's Chapel, and the Shirley-Eustis House, exploring the challenges and opportunities of this work and offering practical insights for public history professionals.","Nikki Stewart serves as the Executive Director of Old North Illuminated, managing research, interpretation, and preservation at Old North Church. Her initiatives earned an Award of Excellence from AASLH in 2024. | Roeshana Moore-Evans is the Director of the Living Memorial at King's Chapel, leading public memory and reparative justice efforts, including the activation of Unbound: A Memorial to Enslaved Persons. | Suzy Buchanan is Executive Director of the Shirley-Eustis House Association, and led the effort to save the estate's former stable, resulting in its designation as Boston's first Landmark recognized for its association with chattel slavery."
"The 'Industrial Beehive' Takes Shape: Ideas, Innovation, and Enterprise in the Connecticut River Valley 1820 – 1970","This talk explores 150 years of innovative and collaborative precision manufacturing in the Connecticut River Valley. Springfield was at the center of a prosperous 200-mile industrial corridor, benefiting from a 1794 decision by Congress to locate a federal armory there — a clearinghouse that diffused production techniques to firms building everything from rifles to Henry Ford's Model T assembly line.","Robert Forrant has been on the University of Massachusetts Lowell history faculty since 1994, teaching labor and immigration history. Prior to 1994, he worked for nearly fifteen years as a machinist and union business agent in Springfield, MA. His newest book, Where Are the Workers, was published by the University of Illinois Press in 2022."
"The Making of Abolition Acre! A Black Freedom Trail in Boston","Boston is renowned as the cradle of the American Revolution, but it was also the birthplace of the movement to end slavery. Beacon Hill Scholars launched Abolition Acre! A Black Freedom Trail in Boston, a self-guided tour of 10 downtown abolitionist sites with audio narration. As a session participant, you will learn why and how it was created and discuss the practical challenges of creating a walking trail of historic sites.","Peter Snoad is the volunteer Project Coordinator at Beacon Hill Scholars (BHS), a history buff, former journalist, and award-winning playwright. | Christle Rawlins-Jackson is President of Beacon Hill Scholars, a fiber and multimedia artist, poet, photographer, and independent researcher. | Mikayla Harden volunteers with Beacon Hill Scholars as its Social Media Coordinator, and is Assistant Program Director and Researcher of the Stopping Stones Project at Historic New England."
"""The Marines Have Landed…"" The Continental Marines and the Birth of the U.S. Marine Corps","The Continental Navy and the Continental Marines forced Britain to look at the American Revolution as something far more serious than a localized rebellion. This presentation focuses on the earliest days of the Continental Marines, their operations, arms, material culture, and contributions to the War for Independence, and how they helped George Washington secure victory during the 10 Crucial Days.","Richard Tucker, MMH, is a Marine Corps veteran, lifelong reenactor, and accredited historian. Richard holds a BA in US History from Keene State College and an MA in Military History from Norwich University. He has done historical programming for the Tun Tavern Legacy Foundation and is commanding officer of Baker Company, 21st Marine Regiment (WW2 reenacted)."
"The Pursuit of History for America's 250th","The Pursuit of History is the only organization in the country with a series of programs that covers the entire span of the conflict, from the rebellion in 1774 through the Treaty of Paris in 1783. In this program we'll explain the idea behind the series and the key events we'll cover, including programs in Philadelphia and Trenton, plus a look ahead to Quincy in Spring 2027.","John Bell is the program director for the series. | Ricardo A. Herrera, Ph.D., began his career as an armor and cavalry officer in the U.S. Army and is Senior Historian, George Washington Leadership Institute, and Professor Emeritus, U.S. Army War College. He is the author of Feeding Washington's Army and For Liberty and the Republic: The American Citizen as Soldier, 1775-1861, among other works."
"The Trial of Lizzie Borden: Whacks and Hacks","This case presents one of America's most notorious and enduring murder mysteries. When Andrew and Abby Borden were brutally hacked to death in Fall River, Massachusetts in August 1892, the arrest of their daughter Lizzie turned the case into international news and her trial into a spectacle unparalleled in American history. The trial of Lizzie Borden offers a window into America in the Gilded Age.","Justice Dennis J. Curran (Ret.) is a graduate of Boston Latin School, the University of Pennsylvania, and the University of Virginia Law School. He served as a Massachusetts trial judge for 15 years and received four statewide awards for judicial excellence. He has served as a Professor of the Practice at Tufts University."
"The True Story of The Woman Hobo: Separating Fact from Fiction in a 1908 Travelogue","In 1908, a pair of newlyweds trade their last belongings for a green tandem bicycle and ride 2,000 miles back to California. In 1917, The Adventures of a Woman Hobo by Ethel Lynn was published — an engaging memoir of the trip. Evidence suggests it is also largely fabricated. Join historian and writer Heather Cole as she shares highlights from the book and her own adventures uncovering the truth.","Heather Cole, MA, is a writer and historian living in the Shenandoah Valley of Virginia. She is author of several local history books and runs a small publishing company (Rock Street Press). Her day job is as editor and director of media relations for Bridgewater College in Virginia."
"The United States Navy in the American Gilded Age (1878-1898): From Rotting Relic to Herald of Empire","Much has been made of the American ""Gilded Age"" as a time of impressive wealth generation and technological experimentation. In fewer than twenty years the United States Navy transformed itself from a coastal defense force into a far-ranging maritime force. This presentation illuminates the specific character of Gilded Age politics and technology that re-engineered the Navy into the first herald of the American empire.","Steve Parode, Rear Admiral, U.S. Navy (Retired), retired in 2020 after a career focused on technical intelligence and defense acquisition; he was the last Flag Officer to have served aboard USS WISCONSIN. A graduate of UCLA and Georgetown, and a Distinguished Graduate of the Naval War College, Steve rejoined the Navy as a civilian executive in 2022."
"The Unknown Musician–An Inquiry into the Origin of Taps","In July 1862, Brigadier General Daniel Butterfield and bugler Oliver W. Norton collaborated to transform an existing bugle call into what became Taps, officially adopted by the U.S. Army in 1891. There is no contemporaneous account of its development, creating an opportunity to tell a different story, with a new character who may have contributed materially to its creation: a third participant, an Unknown Musician.","Tom Mannle, Jr., BS, MPA, Lieutenant Colonel, U.S. Army (retired), is a healthcare consultant specializing in market analysis for the Departments of Defense and Veterans Affairs, and an avid family genealogist. | Timothy A. Wray, BS, MA, MMAS, JD, Colonel, U.S. Army (retired), taught military history at West Point and did a fellowship at Harvard's Center for International Affairs before obtaining a JD and working as a government attorney."
"Thirty days hath September… Except when it doesn't","We all know the mnemonic: thirty days hath September, April, June, and November — but what if September suddenly had only nineteen days? That's exactly what Boston experienced in 1752, when the town went to bed on September 2nd and woke up on the 14th, as the British Empire switched to a new calendar system. How did Bostonians adapt to the change?","Jake Sconyers hosts the HUB History podcast, a show about Boston history that goes far beyond the Freedom Trail. With over 350 episodes, HUB History celebrates its tenth anniversary this October. Jake has also been a Back Bay tour guide, a docent at the Shirley-Eustis House, and producer of a new podcast series from Queer History Boston."
